"Add New Email","Add New Email"
"Save Email Report","Save Email Report"
"Send now","Send now"
"Save","Save"
"Save & Close","Save & Close"
"Reports","Reports"
"General Information","General Information"
"Title","Title"
"Status","Status"
"Enabled","Enabled"
"Disabled","Disabled"
"Subject","Subject"
"Recipient","Recipient"
"Separate e-mails by commas","Separate e-mails by commas"
"Schedule","Schedule"
"Email Report Information","Email Report Information"
"Content","Content"
"ID","ID"
"Action","Action"
"Email Notifications","Email Notifications"
"The email report has been deleted.","The email report has been deleted."
"This email report no longer exists.","This email report no longer exists."
"This email no longer exists.","This email no longer exists."
"Edit Email ""%1""","Edit Email ""%1"""
"New Email Report","New Email Report"
"You saved the email report.","You saved the email report."
"Email was sent.","Email was sent."
"All Store Views","All Store Views"
"Undefined column ""%1""","Undefined column ""%1"""
"Field %1 not exists in table %2","Field %1 not exists in table %2"
"Table '%1' is not defined.","Table '%1' is not defined."
"Malformed column name '%1'.","Malformed column name '%1'."
"Report %1 is not defined.","Report %1 is not defined."
"records found","records found"
"selected","selected"
"per page","per page"
"Previous page","Previous page"
"of %1","of %1"
"Next page","Next page"
"Show Report For:","Show Report For:"
"All Websites","All Websites"
"Blocks","Blocks"
"Block","Block"
"Time Range","Time Range"
"Rows Limit","Rows Limit"
"Add Block","Add Block"
"Delete","Delete"
"We couldn't find any records.","We couldn't find any records."
"CSV","CSV"
